u,x1,x2
0.10649781880140383,-0.009983036447432357 -0.022175435621673185 29.183219532356496,-0.00992205044489937 -0.012070277336524611 29.912963982503644
0.08482062340997479,-0.00992205044489937 -0.012070277336524611 29.912963982503644,-0.009982382224907282 -0.006728800301959626 30.13187138979141
0.11551257748109578,-0.009982382224907282 -0.006728800301959626 30.13187138979141,-0.010380092429359436 -0.012908450780922096 30.501480769174783
0.12936943702747403,-0.010380092429359436 -0.012908450780922096 30.501480769174783,-0.010812121696104425 -0.01650310064473314 31.503887884227254
0.11358321264491006,-0.010812121696104425 -0.01650310064473314 31.503887884227254,-0.011751712602286439 -0.022346698655943867 32.40645849296188
0.10883412440549378,-0.011751712602286439 -0.022346698655943867 32.40645849296188,-0.01165755955279875 -0.011808803734254383 32.85276929850206
0.09255610787812982,-0.01165755955279875 -0.011808803734254383 32.85276929850206,-0.011720476084627174 -0.006960562942541899 33.02363069845575
0.1222659860149338,-0.011720476084627174 -0.006960562942541899 33.02363069845575,-0.012602775443937545 -0.019314260244245637 33.54755169951278
0.13452546819743927,-0.012602775443937545 -0.019314260244245637 33.54755169951278,-0.012988473672123517 -0.018983424141986623 34.64577706230355
0.10025641304367505,-0.012988473672123517 -0.018983424141986623 34.64577706230355,-0.013015157686444848 -0.010001672068403033 35.03301188513287
0.10610725669490936,-0.013015157686444848 -0.010001672068403033 35.03301188513287,-0.013473110127207748 -0.013007791443470185 35.21196714360076
0.13035692781674058,-0.013473110127207748 -0.013007791443470185 35.21196714360076,-0.014346392135735322 -0.02212848091284742 36.038156796925676
0.1198762934516305,-0.014346392135735322 -0.02212848091284742 36.038156796925676,-0.014287159740886093 -0.012626804208355054 36.71250152654987
0.09588845910182717,-0.014287159740886093 -0.012626804208355054 36.71250152654987,-0.014346329291556477 -0.007270930462306514 36.80703377902304
0.1246690609994196,-0.014346329291556477 -0.007270930462306514 36.80703377902304,-0.015229533402065525 -0.019376810307276972 37.221975016906796
0.13753713297745565,-0.015229533402065525 -0.019376810307276972 37.221975016906796,-0.0156093743405482 -0.018977381808866274 38.17077913705483
0.10293936596782621,-0.0156093743405482 -0.018977381808866274 38.17077913705483,-0.015642523518798284 -0.010051779878027703 38.47896091088592
0.10777113320374396,-0.015642523518798284 -0.010051779878027703 38.47896091088592,-0.01610052236792656 -0.012996087210610711 38.55124770335666
0.13116129804081764,-0.01610052236792656 -0.012996087210610711 38.55124770335666,-0.016509595855834554 -0.016191243855936385 39.251365869895864
0.11993897519606711,-0.016509595855834554 -0.016191243855936385 39.251365869895864,-0.016484549318043985 -0.010318943594715965 39.64670481211209
0.11386411947808672,-0.016484549318043985 -0.010318943594715965 39.64670481211209,-0.016975024465298402 -0.013623484403635831 39.877764352454044
